sumple number >> 0 -0.0231345 0.0199959
0.0634343 -0.00825733 0.064462
0.126869 0.00861979 0.123252
0.190303 0.0275487 0.181631
0.253737 0.048563 0.238376
0.317172 0.0716758 0.292867
0.380606 0.0968775 0.344603
0.44404 0.124134 0.393132
0.507475 0.153385 0.438036
0.570909 0.18454 0.478934
0.634343 0.217483 0.515477
0.697778 0.252063 0.547354
0.761212 0.2881 0.574294
0.824646 0.325384 0.596068
0.888081 0.363672 0.612491
0.951515 0.402691 0.623423
1.01495 0.44214 0.628771
1.07838 0.481691 0.62849
1.14182 0.520993 0.622583
1.20525 0.559672 0.6111
1.26869 0.597339 0.594142
1.33212 0.633591 0.571855
1.39556 0.668016 0.544434
1.45899 0.7002 0.512119
1.52242 0.729731 0.475198
1.58586 0.756205 0.433997
1.64929 0.77923 0.388888
1.71273 0.798436 0.340279
1.77616 0.813476 0.28862
1.8396 0.824035 0.234401
1.90303 0.829832 0.178169
1.96646 0.830628 0.120598
2.0299 0.826228 0.0629926
2.09333 0.816484 0.0199959
2.15677 0.801302 0.0629868
2.2202 0.78064 0.120575
2.28364 0.754511 0.178115
2.34707 0.722985 0.234305
2.41051 0.686186 0.288468
2.47394 0.644297 0.340057
2.53737 0.59755 0.38858
2.60081 0.546234 0.433588
2.66424 0.490683 0.474669
2.72768 0.431278 0.511453
2.79111 0.36844 0.54361
2.85455 0.30263 0.570854
2.91798 0.234339 0.592942
2.98141 0.164085 0.60968
3.04485 0.0924069 0.620921
3.10828 0.0198605 0.626566
3.17172 -0.0529898 0.626566
3.23515 -0.125576 0.620921
3.29859 -0.197333 0.60968
3.36202 -0.267705 0.592942
3.42545 -0.336149 0.570854
3.48889 -0.402145 0.54361
3.55232 -0.465199 0.511453
3.61576 -0.524848 0.474669
3.67919 -0.580666 0.433588
3.74263 -0.632271 0.38858
3.80606 -0.679322 0.340057
3.86949 -0.721532 0.288468
3.93293 -0.758663 0.234305
3.99636 -0.790533 0.178115
4.0598 -0.817015 0.120575
4.12323 -0.838041 0.0629868
4.18667 -0.853597 0.0199959
4.2501 -0.863727 0.0629926
4.31354 -0.868529 0.120598
4.37697 -0.868153 0.178169
4.4404 -0.862796 0.234401
4.50384 -0.852704 0.28862
4.56727 -0.838159 0.340279
4.63071 -0.819483 0.388888
4.69414 -0.797026 0.433997
4.75758 -0.771162 0.475198
4.82101 -0.742286 0.512119
4.88444 -0.710803 0.544434
4.94788 -0.677127 0.571855
5.01131 -0.641671 0.594142
5.07475 -0.604845 0.6111
5.13818 -0.567048 0.622583
5.20162 -0.528665 0.62849
5.26505 -0.490062 0.628771
5.32848 -0.451582 0.623423
5.39192 -0.413542 0.612491
5.45535 -0.376232 0.596068
5.51879 -0.339912 0.574294
5.58222 -0.304809 0.547354
5.64566 -0.271119 0.515477
5.70909 -0.239008 0.478934
5.77253 -0.208608 0.438036
5.83596 -0.180023 0.393132
5.89939 -0.153325 0.344603
5.96283 -0.128561 0.292867
6.02626 -0.105753 0.238376
6.0897 -0.0848972 0.181631
6.15313 -0.0659713 0.123252
6.21657 -0.0489336 0.064462
6.28 -0.0337262 0.0199959
